                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4129,                 4.4393,                 3.9238,                0.01233,                0.06025,                0.00636,                0.00215,                 2.8353,                 5.5464,                 3.6953,              0.0033325,              0.0033325,              0.0033325
                      2,                 2.4359,                 3.5058,                 2.7934,                0.18665,                  0.051,                0.03307,                0.01254,                 2.2254,                 3.4983,                 2.6894,              0.0065998,              0.0065998,              0.0065998
                      3,                 2.0827,                 3.2549,                 2.3787,                0.15048,                0.15128,                0.06617,                 0.0276,                 2.0871,                 3.3076,                 2.4691,              0.0098012,              0.0098012,              0.0098012
                      4,                 1.9652,                 3.1281,                 2.2264,                0.15106,                0.14743,                0.07897,                0.03096,                 2.1009,                  3.185,                 2.4084,               0.009703,               0.009703,               0.009703
                      5,                 1.9072,                 3.0112,                 2.1414,                 0.1586,                0.19157,                0.11289,                0.04989,                 1.9778,                 2.9533,                 2.2831,               0.009604,               0.009604,               0.009604
                      6,                 1.8419,                 2.9173,                 2.0711,                 0.1844,                0.25526,                0.14115,                0.06415,                 1.9539,                 2.8176,                 2.2412,               0.009505,               0.009505,               0.009505
                      7,                 1.8158,                 2.8727,                 2.0387,                0.21033,                0.23395,                0.15142,                0.07144,                 1.8828,                 2.7748,                  2.163,               0.009406,               0.009406,               0.009406
                      8,                  1.785,                 2.8103,                 2.0101,                 0.2158,                0.27775,                0.16576,                0.07838,                 1.8843,                 2.7446,                 2.1386,               0.009307,               0.009307,               0.009307
                      9,                 1.7639,                 2.7725,                 1.9795,                0.21653,                0.28084,                0.17951,                0.08795,                 1.8588,                 2.6743,                 2.1117,               0.009208,               0.009208,               0.009208
                     10,                 1.7398,                 2.7335,                 1.9635,                0.23828,                0.27943,                0.19389,                0.09826,                 1.8512,                 2.6406,                 2.0795,               0.009109,               0.009109,               0.009109
                     11,                 1.7155,                 2.7066,                  1.938,                0.23949,                0.29574,                0.19803,                0.09868,                 1.8592,                 2.5666,                 2.0855,                0.00901,                0.00901,                0.00901
                     12,                 1.7077,                 2.6684,                 1.9207,                0.28156,                0.30388,                0.22042,                  0.115,                 1.7987,                  2.489,                 2.0529,               0.008911,               0.008911,               0.008911
                     13,                 1.6901,                 2.6458,                 1.9087,                0.28596,                0.32608,                0.24122,                0.12399,                 1.7806,                 2.4424,                 2.0356,               0.008812,               0.008812,               0.008812
                     14,                 1.6696,                  2.613,                 1.8866,                0.27583,                0.34622,                0.24111,                0.12326,                 1.7494,                 2.4124,                 2.0145,               0.008713,               0.008713,               0.008713
                     15,                 1.6643,                 2.5743,                 1.8753,                0.29409,                0.34457,                0.25222,                0.13598,                 1.7354,                 2.3846,                 1.9852,               0.008614,               0.008614,               0.008614
                     16,                 1.6524,                 2.5576,                 1.8639,                0.32073,                 0.3521,                0.26683,                0.14529,                  1.719,                 2.3564,                 1.9746,               0.008515,               0.008515,               0.008515
                     17,                 1.6463,                 2.5422,                   1.86,                0.33174,                0.35553,                0.28544,                0.15379,                 1.7293,                 2.3077,                 1.9791,               0.008416,               0.008416,               0.008416
                     18,                 1.6319,                 2.5197,                  1.844,                0.31513,                0.37326,                0.28298,                 0.1579,                 1.6891,                 2.2996,                 1.9556,               0.008317,               0.008317,               0.008317
                     19,                 1.6259,                 2.4977,                 1.8338,                0.33531,                0.36398,                0.30292,                0.16986,                 1.6966,                 2.2662,                 1.9347,               0.008218,               0.008218,               0.008218
                     20,                 1.6188,                 2.4707,                 1.8276,                0.35542,                0.37608,                0.31102,                0.16997,                 1.6784,                 2.2284,                 1.9252,               0.008119,               0.008119,               0.008119
                     21,                  1.605,                  2.467,                  1.825,                0.37587,                  0.368,                0.32537,                0.17816,                 1.6707,                 2.1996,                  1.932,                0.00802,                0.00802,                0.00802
                     22,                 1.6087,                 2.4493,                 1.8177,                0.38088,                0.36805,                0.32613,                 0.1857,                 1.6466,                 2.1734,                 1.9058,               0.007921,               0.007921,               0.007921
                     23,                  1.597,                 2.4315,                 1.8116,                0.37821,                0.38858,                0.34118,                0.19123,                 1.6652,                 2.1414,                 1.9205,               0.007822,               0.007822,               0.007822
                     24,                 1.5876,                 2.4149,                 1.8027,                0.40377,                0.38279,                 0.3475,                0.19583,                  1.628,                 2.1307,                 1.9011,               0.007723,               0.007723,               0.007723
                     25,                 1.5833,                 2.3963,                 1.7967,                0.41377,                0.38742,                0.35436,                0.20313,                 1.6228,                  2.093,                 1.8886,               0.007624,               0.007624,               0.007624
                     26,                 1.5919,                 2.3834,                 1.7957,                0.42024,                0.38469,                0.36213,                0.20764,                 1.6269,                 2.0803,                 1.8846,               0.007525,               0.007525,               0.007525
                     27,                  1.577,                 2.3685,                 1.7871,                 0.4176,                0.39215,                0.36163,                0.20707,                 1.6184,                 2.0703,                 1.8849,               0.007426,               0.007426,               0.007426
                     28,                 1.5711,                 2.3585,                 1.7836,                0.42402,                0.39392,                0.37721,                0.21292,                 1.6149,                 2.0369,                 1.8731,               0.007327,               0.007327,               0.007327
                     29,                  1.572,                 2.3435,                 1.7764,                0.41325,                0.40409,                 0.3765,                0.21715,                  1.617,                 2.0286,                 1.8771,               0.007228,               0.007228,               0.007228
                     30,                 1.5669,                 2.3438,                 1.7744,                0.43487,                0.40101,                0.37775,                0.21958,                 1.6035,                  2.023,                 1.8643,               0.007129,               0.007129,               0.007129
                     31,                 1.5509,                 2.3146,                 1.7649,                0.44253,                0.40844,                0.38988,                0.22616,                 1.6033,                 1.9938,                  1.864,                0.00703,                0.00703,                0.00703
